node_1,node_2,positive_prob,weight
I1,S11,0.8183,1.0
I1,S11,0.9024,1.0
I1,S11,0.9347,1.0
I1,S11,0.9482,1.0
I1,S11,0.924,1.0
I1,S12,0.607,1.0
I1,S12,0.6214,1.0
I1,S12,0.5898,1.0
I1,S12,0.6031,1.0
I1,S12,0.5843,1.0
I1,S31,0.7081,1.0
I1,S31,0.652,1.0
I1,S31,0.6606,1.0
I1,S31,0.7227,1.0
I1,S31,0.6816,1.0
I1,S32,0.6186,1.0
I1,S32,0.5839,1.0
I1,S32,0.4891,1.0
I1,S32,0.5302,1.0
I1,S32,0.6118,1.0
I1,S33,0.7041,1.0
I1,S33,0.6517,1.0
I1,S33,0.6556,1.0
I1,S33,0.8379,1.0
I1,S33,0.7514,1.0
I2,S11,0.9814,1.0
I2,S11,1.0,1.0
I2,S11,0.9036,1.0
I2,S11,1.0,1.0
I2,S11,0.8891,1.0
I2,S12,0.7999,1.0
I2,S12,0.8812,1.0
I2,S12,0.9401,1.0
I2,S12,0.9005,1.0
I2,S12,0.9522,1.0
I2,S21,1.0,1.0
I2,S21,1.0,1.0
I2,S21,1.0,1.0
I2,S21,0.9867,1.0
I2,S21,1.0,1.0
I2,S22,1.0,1.0
I2,S22,1.0,1.0
I2,S22,0.9131,1.0
I2,S22,0.9933,1.0
I2,S22,0.9917,1.0
I3,S12,0.6588,1.0
I3,S12,0.6132,1.0
I3,S12,0.6189,1.0
I3,S12,0.5557,1.0
I3,S12,0.6362,1.0
I3,S21,0.6945,1.0
I3,S21,0.7305,1.0
I3,S21,0.6162,1.0
I3,S21,0.7532,1.0
I3,S21,0.6671,1.0
I3,S22,0.6334,1.0
I3,S22,0.7261,1.0
I3,S22,0.6258,1.0
I3,S22,0.6961,1.0
I3,S22,0.6561,1.0
I3,S31,0.5313,1.0
I3,S31,0.4591,1.0
I3,S31,0.4786,1.0
I3,S31,0.5054,1.0
I3,S31,0.5682,1.0
I3,S33,0.5156,1.0
I3,S33,0.5727,1.0
I3,S33,0.607,1.0
I3,S33,0.6081,1.0
I3,S33,0.5499,1.0
